Engine Correlation,Opponent Rating, Title,,"Note: * = rating unknown, minus 400 of Hans"
71,2143,None,,
46,2265,FIDE Master,,
30,2330,International Master,,
69,2223,International Master,,
59,2318,FIDE Master,,
24,2550,Grandmaster,,
46,2240,None,,
36,2297,FIDE Master,,
55,2184,WIM,,
37,2206,Candidate Master,,
46,2297,FIDE Master,,
75,2332,None,,
84,2414,International Master,,
39,2444,International Master,,
55,2121,None,,
85,2297,FIDE Master,,
51,2649,Grandmaster,,
64,2344,FIDE Master,,
53,2279,International Master,,
59,2218,None,,
77,2367,FIDE Master,,
36,2434,International Master,,
39,2105,None,,
64,2067*,None,,
72,2067*,None,,
81,2172,None,,
27,2284,FIDE Master,,
62,2106,None,,
20,2216,FIDE Master,,
39,2200,Candidate Master,,
65,2456,International Master,,
71,2341,FIDE Master,,
73,2495,Grandmaster,,
29,2592,Grandmaster,,
30,2449,International Master,,
46,2562,Grandmaster,,
71,2118,None,,
58,2506,Grandmaster,,
77,2103,None,,
51,2661,Grandmaster,,
70,2346,International Master,,
54,2582,Grandmaster,,
67,2513,Grandmaster,,
62,2046,None,,
70,2262,None,,
62,2314,FIDE Master,,
50,2369,International Master,,
56,2281,None,,
64,2386,International Master,,
100,2283,FIDE Master,,
44,2380,Candidate Master,,
23,2387,International Master,,
39,2313,International Master,,
49,2517,Grandmaster,,
94,2507,Grandmaster,,
72,2532,Grandmaster,,
59,2450,International Master,,
44,2446,International Master,,
71,2424,Grandmaster,,
71,2549,Grandmaster,,
53,2466,International Master,,
51,2079,Candidate Master,,
47,2200,None,,
73,2071*,Candidate Master,,
61,2232,None,,
54,2320,FIDE Master,,
50,2361,FIDE Master,,
88,2230,None,,
88,2315,FIDE Master,,
81,2418,International Master,,
66,2430,International Master,,
58,2591,Grandmaster,,
83,2394,International Master,,
55,2513,Grandmaster,,
40,2362,None,,
100,2430,International Master,,
79,2319,FIDE Master,,
96,2331,FIDE Master,^post-covid,
59,2367,FIDE Master,,
61,2517,Grandmaster,,
72,2470,International Master,,
69,2353,FIDE Master,,
100,2427,International Master,,
72,2342,Candidate Master,,
68,2101,None,,
62,2634,Grandmaster,,
61,2085,None,,
70,2131,None,,
69,2084,None,,
62,2255,FIDE Master,,
90,2331,FIDE Master,,
74,2238,FIDE Master,,
69,2588,Grandmaster,,
50,2315,FIDE Master,,
25,2266,FIDE Master,,
57,2339,FIDE Master,,
69,2079,Candidate Master,,
80,2291,None,,
51,2581,Grandmaster,,
63,2276,None,,
72,2318,FIDE Master,,
100,2558,Grandmaster,,
72,2626,Grandmaster,,
73,2660,Grandmaster,,
88,2557,Grandmaster,,
56,2549,Grandmaster,,
65,2078*,None,,
66,2157,None,,
71,2619,Grandmaster,,
51,2485,International Master,,
73,2293,FIDE Master,,
49,2278,None,,
90,2304,FIDE Master,,
68,2581,Grandmaster,,
86,2527,Grandmaster,,
58,2485,International Master,,
84,2510,Grandmaster,,
54,2560,Grandmaster,,
78,2619,Grandmaster,,
62,2552,Grandmaster,,
62,2504,Grandmaster,^becomes GM,
83,2380,FIDE Master,,
69,2433,International Master,,
71,2187,None,,
38,2378,None,,
90,2442,International Master,,
56,2443,Grandmaster,,
96,2309,FIDE Master,,
68,2376,Candidate Master,,
79,2314,WIM,,
97,2295,Candidate Master,,
61,2433,International Master,,
49,2380,FIDE Master,,
49,2443,Grandmaster,,
44,2504,Grandmaster,,
66,2332,FIDE Master,,
98,2322,FIDE Master,,
71,2412,Grandmaster,,
93,2367,Grandmaster,,
55,2434,International Master,,
92,2542,Grandmaster,,
59,2458,International Master,,
42,2570,Grandmaster,,
48,2381,International Master,,
55,2452,International Master,,
17,2378,None,,
75,2416,International Master,,
60,2445,International Master,,
61,2381,FIDE Master,,
65,2488,None,,
74,2126*,None,,
43,2126*,None,,
78,2357,Grandmaster,,
59,2546,Grandmaster,,
75,2126*,None,,
60,2409,International Master,,
50,2481,Grandmaster,,
87,2430,International Master,,
85,2477,International Master,,
100,2454,International Master,,
79,2517,Grandmaster,,
42,2447,International Master,,
49,2278,Candidate Master,,
76,2220,FIDE Master,,
63,2454,International Master,,
42,2599,Grandmaster,,
45,2445,International Master,,
76,2231,FIDE Master,,
66,2487,Grandmaster,,
66,2477,International Master,,
60,2552,Grandmaster,,
61,2400,FIDE Master,,
54,2108*,None,,
54,2262,Candidate Master,,
68,2562,Grandmaster,,
60,2603,Grandmaster,,
70,2559,Grandmaster,,
91,2255,FIDE Master,,
69,2550,Grandmaster,,
49,2453,International Master,,
70,2366,Grandmaster,,
66,2465,International Master,,
51,2455,International Master,,
62,2329,FIDE Master,,
98,2229,FIDE Master,,
80,2457,International Master,,
72,2516,International Master,,
95,2477,International Master,,
48,2318,International Master,,
52,2370,None,,
52,2393,Grandmaster,,
53,2523,Grandmaster,,
79,2572,Grandmaster,,
73,2520,International Master,,
69,2263,None,,
82,2472,International Master,,
73,2310,FIDE Master,,
79,2572,Grandmaster,,
75,2414,International Master,,
52,2520,International Master,,
58,2472,International Master,,
89,2318,International Master,,
50,2523,Grandmaster,,
59,2428,International Master,,
59,2283,FIDE Master,,
51,2198,None,,
89,2315,FIDE Master,,
80,2447,International Master,,
88,2422,International Master,,
83,2461,International Master,,
47,2598,Grandmaster,,
26,2359,International Master,,
77,2398,International Master,,
30,2679,Grandmaster,,
100,2204,None,,
54,2363,International Master,,
78,2318,International Master,,
62,2491,Grandmaster,,
51,2520,Grandmaster,,
73,2581,Grandmaster,,
72,2359,International Master,,
69,2590,Grandmaster,,
74,2278,FIDE Master,,
63,2370,FIDE Master,,
92,2361,International Master,,
67,2352,FIDE Master,,
60,2683,Grandmaster,,
67,2603,Grandmaster,,
69,2538,Grandmaster,,
68,2455,International Master,,
56,2507,International Master,,
98,2552,Grandmaster,,
81,2474,International Master,,
80,2538,Grandmaster,,
100,2376,International Master,,
85,2467,International Master,,
67,2479,International Master,,
72,2504,Grandmaster,,
71,Unrated,None,^2600 rating,
80,Unrated,None,,
72,1954,None,,
97,2253,None,,
86,2514,Grandmaster,,
64,2607,Grandmaster,,
84,2587,Grandmaster,,
78,2206*,None,,
43,2257,None,,
63,2449,International Master,,
71,2368,FIDE Master,,
100,2398,FIDE Master,,
67,2454,International Master,,
58,2389,FIDE Master,,
89,2360,International Master,,
63,2401,Grandmaster,,
62,2498,International Master,,
61,2412,International Master,,
59,2562,Grandmaster,,
56,2443,FIDE Master,,
50,2597,Grandmaster,,
80,2440,Candidate Master,,
81,2629,Grandmaster,,
56,2474,International Master,,
52,2611,Grandmaster,,
77,2603,Grandmaster,,
64,2509,Grandmaster,,
67,2483,Grandmaster,,
42,2470,International Master,,
82,2395,FIDE Master,,
72,2661,Grandmaster,,
73,2561,Grandmaster,,
100,2466,Grandmaster,,
40,2679,Grandmaster,,
83,2704,Grandmaster,,
51,2657,Grandmaster,,
67,2648,Grandmaster,,
54,2522,Grandmaster,,
56,2573,Grandmaster,,
76,2672,Grandmaster,,
71,2234,WIM,,
54,2404,FIDE Master,,
77,2382,International Master,,
54,2445,International Master,,
64,2487,International Master,,
80,2300,FIDE Master,,
68,2568,Grandmaster,,
62,2635,Grandmaster,,
65,2533,International Master,,
78,2763,Grandmaster,,
51,2782,Grandmaster,,
72,2577,Grandmaster,,
74,2602,Grandmaster,,
79,2607,Grandmaster,,
70,2569,Grandmaster,,
84,2587,Grandmaster,,
83,2699,Grandmaster,,
85,2691,Grandmaster,,
59,2609,Grandmaster,,
62,2235*,None,,
69,2407,International Master,,
50,2488,None,,
79,2521,Grandmaster,,
48,2592,Grandmaster,,
92,2445,Grandmaster,,
82,2557,Grandmaster,,
68,2501,International Master,,
61,2663,Grandmaster,,
66,2359,International Master,,
65,2448,FIDE Master,,
54,2530,Grandmaster,,
67,2504,International Master,,
75,2579,Grandmaster,,
43,2604,Grandmaster,,
91,2466,International Master,,
70,2469,International Master,,
69,2437,International Master,,
91,2251,FIDE Master,,
55,2382,FIDE Master,,
37,2466,International Master,,
74,2353,International Master,,
40,2417,Candidate Master,,
66,2344,FIDE Master,,
61,2476,International Master,,
48,2434,International Master,,
62,2592,Grandmaster,,
64,2676,Grandmaster,,
52,2674,Grandmaster,,
69,2684,Grandmaster,,
62,2600,Grandmaster,,
75,2586,Grandmaster,,
54,2686,Grandmaster,,
92,2615,Grandmaster,,
57,2656,Grandmaster,,
61,2601,Grandmaster,,
71,2237*,Candidate Master,,
51,2386,International Master,,
93,2496,International Master,,
52,2434,Grandmaster,,
100,2542,Grandmaster,,
43,2465,Grandmaster,,
71,2362,International Master,,
75,2419,Grandmaster,,
73,2422,Grandmaster,,
64,2519,Grandmaster,,
54,2533,Grandmaster,,
53,2628,Grandmaster,,
65,2609,Grandmaster,,
74,2579,Grandmaster,,
70,2574,Grandmaster,,
69,2536,Grandmaster,,
62,2626,Grandmaster,,
69,2605,Grandmaster,,
88,2667,Grandmaster,,
59,2698,Grandmaster,,
74,2682,Grandmaster,,
65,2675,Grandmaster,,
85,2690,Grandmaster,,
64,2695,Grandmaster,,
91,2635,Grandmaster,,
69,2715,Grandmaster,,
35,2572,Grandmaster,,
63,2454,International Master,,
75,2536,Grandmaster,,
63,2581,Grandmaster,,
54,2616,Grandmaster,,
77,2539,Grandmaster,,
44,2690,Grandmaster,,
67,2624,Grandmaster,,
54,2661,Grandmaster,,
66,2541,Grandmaster,,
78,2613,Grandmaster,,
58,2675,Grandmaster,,
67,2635,Grandmaster,,
66,2564,Grandmaster,,
59,2577,Grandmaster,,
76,2535,Grandmaster,,
71,2648,Grandmaster,,
83,2487,International Master,,
50,2640,Grandmaster,,
48,2654,Grandmaster,,
56,2638,Grandmaster,,
46,2602,Grandmaster,,
78,2656,Grandmaster,,
77,2610,Grandmaster,,
72,2686,Grandmaster,,
69,2783,Grandmaster,,
68,2655,Grandmaster,,
93,2652,Grandmaster,,
63,2610,Grandmaster,,
51,2570,Grandmaster,,
49,2578,Grandmaster,,
47,2701,Grandmaster,,
69,2644,Grandmaster,,
49,2641,Grandmaster,,
62,2759,Grandmaster,,
72,2757,Grandmaster,,
69,2861,Grandmaster,,
35,2778,Grandmaster,^2700 rating,
61,2745,Grandmaster,,
46,2771,Grandmaster,,
80,2757,Grandmaster,,
46,2758,Grandmaster,,
45,2792,Grandmaster,,
